# Input graph: data/beamville/graph.gr.bin
# Methodology: geometrically distributed Dijkstra ranks (1)
origin,destination,dijkstra_rank
0,0,0
8,8,0
60,60,0
89,89,0
96,96,0
18,18,0
51,51,0
39,39,0
26,26,0
74,74,0
8,8,0
56,56,0
58,58,0
0,0,0
17,17,0
20,20,0
78,78,0
93,93,0
37,37,0
2,2,0
79,79,0
52,52,0
48,48,0
17,17,0
12,12,0
16,16,0
0,0,0
25,25,0
80,80,0
67,67,0
90,90,0
56,56,0
54,54,0
19,19,0
78,78,0
23,23,0
26,26,0
68,68,0
74,74,0
0,0,0
34,34,0
40,40,0
56,56,0
87,87,0
75,75,0
5,5,0
59,59,0
5,5,0
97,97,0
35,35,0
24,24,0
32,32,0
0,0,0
42,42,0
0,0,0
45,45,0
83,83,0
94,94,0
57,57,0
99,99,0
31,31,0
71,71,0
44,44,0
80,80,0
0,0,0
51,51,0
60,60,0
34,34,0
80,80,0
13,13,0
8,8,0
38,38,0
57,57,0
46,46,0
53,53,0
36,36,0
0,0,0
59,59,0
20,20,0
24,24,0
77,77,0
32,32,0
60,60,0
78,78,0
84,84,0
20,20,0
62,62,0
92,92,0
0,0,0
68,68,0
81,81,0
13,13,0
74,74,0
51,51,0
11,11,0
18,18,0
10,10,0
94,94,0
71,71,0
48,48,0
