# Input graph: graph.gr.bin
# Methodology: geometrically distributed Dijkstra ranks (1 2)
origin,destination,dijkstra_rank
0,0,0
1045,2049,3
7391,7391,0
10958,10958,0
11897,5483,1
2331,2330,1
6329,5952,2
4891,1935,1
3231,8340,7
9138,3252,4
1100,1100,0
6887,4499,1
7156,12132,4
0,0,0
2090,12001,2
2491,2491,0
9626,8884,2
11503,11503,0
4662,4662,0
368,8450,1
9783,9783,0
6462,6957,6
5986,3715,3
2201,6342,2
1484,1484,0
2021,4437,3
0,0,0
3135,818,1
9882,4986,1
8294,8294,0
11109,11109,0
6994,10877,1
6697,6697,0
2384,8142,1
9694,730,6
2833,7907,3
3301,3301,0
8372,10786,4
9177,1579,3
1,1,0
4180,2728,1
4982,5883,2
6962,10594,1
10715,9381,5
9325,9325,0
736,736,0
7276,7276,0
634,10517,5
11972,9100,2
4402,1075,1
2969,2970,1
4042,4998,2
1,1,0
5225,5225,0
83,4517,4
5629,3740,6
10321,8270,1
11657,11654,2
7065,7065,0
12168,9665,1
3865,10539,5
8819,8820,2
5503,5503,0
9856,9856,0
1,7873,1
6270,6270,0
7474,7474,0
4297,4297,0
9927,9927,0
1697,1697,0
1104,4188,2
4769,4769,0
7097,2231,5
5667,7899,2
6603,6602,1
4453,1027,3
1,7873,1
7315,7315,0
2574,2574,0
2965,5177,2
9534,9534,0
4029,7410,3
7433,7689,1
9661,9660,1
10328,3633,4
2514,10110,2
7704,7488,5
11341,1014,1
2,10138,1
8361,8361,0
9965,9958,1
1633,1633,0
9140,6553,4
6360,6360,0
1472,1472,0
2262,2262,0
1269,8905,4
11653,8183,1
8805,8805,0
5938,5938,0
9950,7484,4
7275,7275,0
6289,6288,1
10774,10945,1
12230,6618,3
8925,8926,1
11880,11880,0
3651,3650,1
5236,5920,4
11055,9759,3
8026,8026,0
11080,4251,3
11818,11818,0
7609,7456,3
2259,2260,2
287,9454,4
9258,9258,0
12170,159,2
5560,5560,0
11470,11470,0
7303,5785,4
10473,10472,2
9820,7959,1
3761,2721,1
9870,6770,2
11345,3409,1
5269,5268,2
9534,11419,5
6577,6577,0
7742,7697,1
12109,12124,1
2195,8974,2
11059,11059,0
10955,10955,0
3418,8987,1
8585,8585,0
11787,10622,2
8660,3914,1
10872,6038,1
2928,11040,1
4519,4519,0
575,576,2
6225,6225,0
12049,12049,0
11121,11121,0
10649,8997,1
2315,2313,3
8655,5969,1
7349,7349,0
7522,7521,3
7450,7450,0
10399,1635,3
11198,11200,4
587,587,0
11794,952,1
6865,6865,0
4709,5676,2
11988,4372,7
7756,7423,3
10239,5503,1
5967,5967,0
1600,1600,0
6114,10041,4
3257,12085,7
6064,8722,3
10538,10538,0
6778,7950,3
863,155,1
3193,3193,0
11928,11389,3
4391,4391,0
9828,8281,2
9619,7870,2
6837,6837,0
4879,4523,2
11283,11283,0
929,3460,3
8197,8197,0
1762,1762,0
7153,7154,5
1676,10521,2
11868,10017,1
1026,1030,4
9418,9422,2
979,979,0
12074,8828,6
3644,3643,1
7018,6785,1
8085,8086,2
5857,4409,4
9038,7538,1
1151,1151,0
160,160,0
11807,11807,0
9951,7572,1
9007,125,3
4631,9010,1
5019,9897,3
2408,2408,0
2753,2754,1
